User Story #,Title,Implementation Status,Functional Flow,Tasks for Team,Clarification Questions
1,Document Upload (Invoice + Proof against PO),Needs Rework,"Agency logs in → sees list of POs from SAP (Story #20) → selects a PO to raise FAP claim → system blocks duplicate submission for same PO → uploads 5 mandatory docs: (1) Invoice, (2) Cost Summary, (3) Activity Summary, (4) Photo Proofs (multi-upload), (5) Enquiry Dump. Each doc uploaded into its mapped field (no classification). On upload → Document Intelligence extracts fields → shown inline read-only (e.g. Invoice: Number, Amount, GSTIN). PO NOT uploaded — comes from SAP. Submit enables when all 5 types present. On submit → background validations → scoring → recommendation.","1. [CRITICAL] Build PO list page from SAP data with selection
2. [CRITICAL] Add duplicate-PO guard
3. [CRITICAL] Remove PO upload card — PO from SAP
4. [CRITICAL] Integrate Document Intelligence for real-time extraction on upload
5. [CRITICAL] Show extracted fields inline (read-only) after each upload
6. [TASK] Add Enquiry Dump as mandatory doc type
7. [TASK] Enable multi-file upload for Photo Proofs
8. [TASK] Update Submit logic — all 5 mandatory types required
9. [TASK] Photo AI Vision checks (3W vehicle + blue t-shirt)
10. [VERIFY] Test end-to-end: PO select → upload 5 docs → extraction → submit","1. Min/max photo count per submission?
2. Pre-fill PO details on upload page from SAP?
3. If extraction fails — block upload or show warning?"
2,Document Data Extraction (No Classification),Needs Rework,"Classification NOT required — docs uploaded into mapped fields already. On upload → Azure Document Intelligence extracts fields → stored in ExtractedDataJson → displayed inline on upload page (read-only). Fields: Invoice (Agency Name/Address, Billing Name/Address, State, Invoice#, Date, Vendor Code, PO#, GST#, GST%, HSN/SAC, Amount). Cost Summary (Place of Supply, Element-wise Cost, Days, Activations, Teams, Quantity, Total Cost). Activity Summary (Dealer/Location, Days per location). Photos (Date/Lat-Long via EXIF, Blue T-shirt + 3W Vehicle via AI Vision). Enquiry Dump (State, Date, Dealer Code/Name, District, Pincode, Customer Name/Number, Test Ride).","1. [CRITICAL] Remove classification logic — not needed
2. [CRITICAL] Show extracted fields inline on Agency upload page (currently ASM-only)
3. [TASK] Update extraction for all 5 doc types with exact field lists
4. [TASK] EXIF extraction for Photos (Date, GPS) via MetadataExtractor
5. [TASK] AI Vision for Photos (blue t-shirt, 3W vehicle)
6. [VERIFY] Test extraction accuracy with real samples","1. Blue t-shirt: specific Bajaj blue (#003087) or any blue?
2. 3W vehicle: any three-wheeler or specific Bajaj models?
3. Extraction failure — block upload or warning?
4. Custom Document Intelligence models needed or use prebuilt?"
3,Validation (Background after Submit),Needs Rework,"Runs in background after submit. (A) Presence checks — required fields exist. (B) Cross-checks — values match across docs and backend data. INVOICE (14): Presence of Agency Name/Address, Billing Name/Address, State, Invoice#, Date, Vendor Code, PO#, GST#/%, HSN/SAC, Amount. Cross: GST# vs State, HSN/SAC match, Amount ≤ PO Amount, GST% vs State (18%). COST SUMMARY (10): Presence of Place of Supply, Element Cost, Days, Activations, Teams, Quantity. Cross: Total ≤ Invoice Amount, element costs vs state rates, fixed/variable limits. ACTIVITY (3): Presence of Dealer/Location. Cross: Days vs Cost Summary. PHOTOS (5): Presence of Date, Lat/Long, Blue T-shirt, 3W Vehicle. Cross: Photo count = Activity man-days; Activity days ≤ Cost Summary days (3-way). ENQUIRY DUMP (9): Presence of State, Date, Dealer Code/Name, District, Pincode, Customer Name/Number, Test Ride. UI shows per-doc status: 'Invoice - Validation In Progress' → 'Invoice - Validation Completed'.","1. [CRITICAL] Implement full 41-validation matrix in ValidationAgent.cs
2. [CRITICAL] Build reference data: GST-State mapping, HSN/SAC codes, state cost rates
3. [CRITICAL] 3-way cross-validation: Photos ↔ Activity man-days ↔ Cost Summary days
4. [TASK] Invoice cross-checks: GST# vs State, HSN/SAC, Amount ≤ PO, GST%
5. [TASK] Cost Summary cross-checks: Total ≤ Invoice, element costs vs rates
6. [TASK] Validation status UI with activity names per document
7. [TASK] Seed GST-State mapping; get HSN/SAC list from Vivek
8. [VERIFY] Test all 41 validations with real samples","1. GST-State full mapping available? (3 FAPs shared so far)
2. HSN/SAC list — static or dynamic?
3. State cost rates source — SAP or separate?
4. Amount ≤ PO: taxable or total incl. GST?
5. 3-way photo validation: exact match or tolerance?"
4,Confidence Score Calculation,Needs Rework — Weights Changed,"PO excluded from scoring (comes from SAP). New weights: Invoice 30% + Cost Summary 20% + Activity 20% + Photos 30% = 100%. Score 0-100. Below 70 → mandatory ASM review. Displayed on Agency dashboard and ASM review page. Color: green >85%, amber 70-85%, red <70%.","1. [CRITICAL] Update weights: Invoice 0.30, CostSummary 0.20, Activity 0.20, Photos 0.30
2. [CRITICAL] Remove PO from confidence calculation
3. [TASK] Update ConfidenceScore entity/logic accordingly
4. [VERIFY] Test with new weights
5. [VERIFY] Test edge case: doc type scores 0",
5,Approval Recommendation (Short ~100 char Summary),Needs Rework,"After validation + scoring → RecommendationAgent generates APPROVE / REVIEW / REJECT. Summary must be very short: ~2 lines / ~100 characters. Example: 'All validations passed. Confidence 92%. Recommend approval.' Stored in Recommendation entity. Shown on ASM review page.","1. [CRITICAL] Enforce ~100 char limit on recommendation text
2. [TASK] Update RecommendationAgent prompt for concise 2-line output
3. [TASK] Update recommendation_card.dart for compact display
4. [VERIFY] Test all 3 types produce short summaries","1. Hard cutoff at 100 chars or guideline?
2. Include confidence score number in summary?"
6,Email Communication (PO PDF + Status),Needs Rework,"Two scenarios: (A) PO arrives from SAP → generate PO PDF → email to Agency as attachment + downloadable from portal. (B) Status emails: validation fail → email Agency with correction details; ASM/RA approve/reject → email Agency. All via ACS with 3x retry.","1. [CRITICAL] PO PDF generation (QuestPDF) on SAP PO arrival
2. [CRITICAL] Email PO PDF attachment to Agency via ACS
3. [TASK] PO PDF download button on Agency portal
4. [TASK] Status emails: validation fail, ASM approve/reject, RA approve/reject
5. [TASK] Configure ACS connection + sender email
6. [VERIFY] Test PO PDF email + all status emails","1. Sender email address?
2. Deep links in emails?
3. PO PDF template — Bajaj format?"
7,Analytics (Simple Quarterly FAP Totals),Needs Rework — Simplified,"Simple analytics only. Primary KPI: total FAP amount quarterly. Basic chart visualization. Excel export of quarterly data. No complex campaign/state breakdowns needed now.","1. [CRITICAL] Simplify to quarterly FAP total amounts
2. [TASK] Build quarterly bar/line chart
3. [TASK] Excel export for quarterly data
4. [TASK] Defer complex analytics (state ROI, campaigns)
5. [VERIFY] Test quarterly aggregation","1. Break down by Agency or just overall total?
2. Other KPIs beyond FAP total? (approval rate, processing time?)
3. Current quarter only or historical?"
8,Notifications (Push for New PO),Needs Rework,"New PO arrives from SAP → push notification to Agency (mobile via FCM/APNs) so they know a new PO is available. Also: in-app notifications for status changes (ASM/RA approve/reject). Bell icon with unread badge. Mark-as-read on click. Note: 'Dealer' = Agency (same role).","1. [CRITICAL] Push notifications (FCM/APNs) for new PO arrival
2. [TASK] In-app notifications for status changes
3. [TASK] Bell icon with unread badge in app bar
4. [TASK] Mark-as-read functionality
5. [VERIFY] Test push delivery on mobile
6. [VERIFY] Test in-app notifications for all events","1. Push for status changes too or only new PO?
2. ASM push notifications for new submissions?"
9,Conversational Bot (ASM + Agency — Full Actions),Needs Rework — Scope Expanded,"Chat bot is the primary interface for ALL roles. Both ASM and Agency can perform ALL app actions via chat. Agency: view POs, start submission, check status, download PO PDF. ASM: view pending approvals, approve/reject, view docs/validation. HQ: analytics queries. Bot answers questions AND navigates users to app sections. Uses Semantic Kernel + Azure OpenAI. Context maintained across messages.","1. [CRITICAL] Expand ChatService for action execution (not just Q&A)
2. [CRITICAL] Enable chat for Agency + ASM (not just HQ)
3. [CRITICAL] Add navigation commands (deep-link to pages)
4. [TASK] Agency actions: view POs, check status, download PDF
5. [TASK] ASM actions: list pending, approve/reject with comments
6. [TASK] Intent recognition: action vs question
7. [TASK] Conversation context across 10+ messages
8. [VERIFY] Test all actions via chat for both roles","1. Bot trigger uploads or just navigate to upload page?
2. Confirm before approve/reject via chat?
3. Voice input or text only?"
10,User Authentication and Authorization,Needs Update — SSO Added,"Login with email + password → JWT with role claims → flutter_secure_storage. Roles: Agency, ASM, HQ, RA/Finance, Audit. Teams SSO for ASM: Azure AD/Entra ID identity carries over to portal (no re-login). Session expires 30 min inactivity.","1. [CRITICAL] Teams SSO: Azure AD/Entra ID → portal JWT
2. [TASK] Add RA/Finance + Audit roles
3. [TASK] Token refresh logic
4. [TASK] Session timeout detection on frontend
5. [VERIFY] Test all role logins
6. [VERIFY] Test Teams SSO flow","1. Azure AD/Entra ID as identity provider?
2. All users move to SSO eventually or just ASM?"
